episode,anchors,dropped,ratio,left_missing,right_missing,first_anchor_timestamp,first_left_ft_timestamp,first_right_ft_timestamp
21,892,1,0.0011210762331838565,1,1,1786684940.9392502,1786684940.9428852,1786684940.9428852
22,811,1,0.0012330456226880395,1,1,1786684963.9956164,1786684964.001257,1786684964.001257
23,723,1,0.0013831258644536654,1,1,1786685024.4393334,1786685024.4485273,1786685024.4485273
24,917,1,0.0010905125408942203,1,1,1786685043.4249663,1786685043.426317,1786685043.426317
25,768,1,0.0013020833333333333,1,1,1786685070.8356833,1786685070.8402956,1786685070.8402956
26,765,1,0.00130718954248366,1,1,1786685093.5917504,1786685093.6001039,1786685093.6001039
27,846,1,0.001182033096926714,1,1,1786685139.9714162,1786685139.973281,1786685139.973281
28,819,1,0.001221001221001221,1,1,1786685164.2456663,1786685164.2509756,1786685164.2509756
29,841,1,0.0011890606420927466,1,1,1786685187.6690664,1786685187.6776881,1786685187.6776881
30,832,1,0.001201923076923077,1,1,1786685208.4565003,1786685208.4576495,1786685208.4576495
31,851,1,0.0011750881316098707,1,1,1786685229.7277505,1786685229.7349107,1786685229.7349107
32,789,1,0.0012674271229404308,1,1,1786685250.4985003,1786685250.502945,1786685250.502945
33,805,1,0.0012422360248447205,1,1,1786685276.0573664,1786685276.0604541,1786685276.0604541
34,862,1,0.001160092807424594,1,1,1786685295.7103333,1786685295.7157085,1786685295.7157085
35,782,1,0.0012787723785166241,1,1,1786685370.9354835,1786685370.9427745,1786685370.9427745
36,834,1,0.001199040767386091,1,1,1786685392.9908504,1786685392.9924502,1786685392.9924502
37,930,1,0.001075268817204301,1,1,1786685414.7959664,1786685414.7994425,1786685414.7994425
38,852,1,0.0011737089201877935,1,1,1786685456.6210833,1786685456.6228344,1786685456.6228344
39,820,1,0.0012195121951219512,1,1,1786685495.7601833,1786685495.7630396,1786685495.7630396
40,917,1,0.0010905125408942203,1,1,1786685517.7821834,1786685517.7847428,1786685517.7847428
41,841,1,0.0011890606420927466,1,1,1786685541.7060833,1786685541.7128763,1786685541.7128763
42,885,1,0.0011299435028248588,1,1,1786685564.5122004,1786685564.521996,1786685564.521996
43,928,1,0.0010775862068965517,1,1,1786685638.3359504,1786685638.3443258,1786685638.3443258
44,859,1,0.0011641443538998836,1,1,1786685661.2588503,1786685661.2593615,1786685661.2593615
45,823,1,0.001215066828675577,1,1,1786685683.3809505,1786685683.3904262,1786685683.3904262
46,818,1,0.0012224938875305623,1,1,1786685705.8700833,1786685705.87405,1786685705.87405
47,828,1,0.0012077294685990338,1,1,1786685729.0098662,1786685729.0099678,1786685729.0099678
48,789,1,0.0012674271229404308,1,1,1786685907.6550004,1786685907.6633313,1786685907.6633313
49,740,1,0.0013513513513513514,1,1,1786685926.5071664,1786685926.5087173,1786685926.5087173
50,786,1,0.001272264631043257,1,1,1786685946.5939004,1786685946.5945563,1786685946.5945563
51,727,1,0.001375515818431912,1,1,1786685967.2645504,1786685967.2688968,1786685967.2688968
52,832,1,0.001201923076923077,1,1,1786685989.6369004,1786685989.6392689,1786685989.6392689
53,761,1,0.001314060446780552,1,1,1786686010.0573003,1786686010.0608454,1786686010.0608454
54,888,1,0.0011261261261261261,1,1,1786686029.3599164,1786686029.36723,1786686029.36723
55,957,1,0.0010449320794148381,1,1,1786686053.1503503,1786686053.152521,1786686053.152521
56,892,1,0.0011210762331838565,1,1,1786686077.1409833,1786686077.1454391,1786686077.1454391
57,819,1,0.001221001221001221,1,1,1786686098.6458004,1786686098.6513522,1786686098.6513522
58,828,1,0.0012077294685990338,1,1,1786686117.7482164,1786686117.7555282,1786686117.7555282
59,793,1,0.0012610340479192938,1,1,1786686139.9871004,1786686139.9952478,1786686139.9952478
60,882,1,0.0011337868480725624,1,1,1786686161.3584504,1786686161.3653083,1786686161.3653083
61,882,1,0.0011337868480725624,1,1,1786686183.4972334,1786686183.5015419,1786686183.5015419
62,772,1,0.0012953367875647669,1,1,1786686209.6733835,1786686209.6740885,1786686209.6740885
63,907,1,0.0011025358324145535,1,1,1786686231.7788002,1786686231.786932,1786686231.786932
64,755,1,0.0013245033112582781,1,1,1786686257.3043003,1786686257.3060923,1786686257.3060923
65,844,1,0.001184834123222749,1,1,1786686277.8581665,1786686277.8658655,1786686277.8658655
66,830,1,0.0012048192771084338,1,1,1786686301.0646834,1786686301.0737312,1786686301.0737312
67,830,1,0.0012048192771084338,1,1,1786686324.4547164,1786686324.4596982,1786686324.4596982
68,809,1,0.0012360939431396785,1,1,1786686346.3098834,1786686346.3163059,1786686346.3163059
69,710,1,0.0014084507042253522,1,1,1786686366.9805334,1786686366.9897797,1786686366.9897797
