# workstation war game answer sheet — 0624_axis dataset.zarr episode 0 (n=1135 steps, 59.94 fps)
# generated 2026-07-06 on oem@147.47.191.80, source: data/robot0_eef_rot_axis_angle[:1135]
#
# ==== 계산식 (이 정의와 다르면 곡선이 어긋나는 게 정상이니 반드시 맞출 것) ====
# R_cmd  = Rotation.from_rotvec(zarr rotvec)                     # zarr 정답 자세
# uvw    = R_cmd.as_euler('zxz', degrees=True)                   # 현재 배포코드가 로봇에 쓰는 UVW
# R_raw  = Rotation.from_euler('xyz', uvw, degrees=True)         # 로봇의 물리 해석 (SDK: extrinsic RPY)
# O      = R_cmd[0] * R_raw[0].inv()                             # step0에서 오차 0이 되는 상수 offset (WORLD측 좌곱)
# R_old  = O * R_raw                                             # [수정 전] 로봇이 취하게 될 물리 자세
# [수정 후] = R_cmd 그대로 (xyz 통역은 항등이므로 별도 컬럼 없음 — zarr_* 컬럼이 곧 수정 후)
# err_old_deg = angle(R_cmd^-1 * R_old)                          # 통역 오류가 만든 자세 오차
# rel_* = (R[0].inv() * R[k]).as_rotvec()                        # 에피소드 시작 기준 상대회전 (body쪽 아님, 이 식 그대로)
# tool offset은 O(step0 보정) 외에 일절 미적용 — [B] 비교 시 offset [0,0,0] 상태와 대조할 것
# 단위: rotvec=rad, rpy/uvw/err=deg. rpy는 extrinsic 'xyz' 분해.
step,t_sec,zarr_rotvec_x,zarr_rotvec_y,zarr_rotvec_z,zarr_rpy_roll,zarr_rpy_pitch,zarr_rpy_yaw,uvw_zxz_u,uvw_zxz_v,uvw_zxz_w,old_rotvec_x,old_rotvec_y,old_rotvec_z,old_rpy_roll,old_rpy_pitch,old_rpy_yaw,rel_zarr_rotvec_x,rel_zarr_rotvec_y,rel_zarr_rotvec_z,rel_old_rotvec_x,rel_old_rotvec_y,rel_old_rotvec_z,err_old_deg
14,0.233566900,-2.641827106,0.030288635,-0.004828711,-151.375216825,0.118051114,-1.283620386,-179.753584731,151.374993997,178.932676829,-2.641779808,0.044421665,-0.006125813,-151.384148231,0.211930304,-1.872629826,-0.000123333,-0.003583301,-0.003243016,-0.000261531,-0.000096544,0.006565387,0.596485387
15,0.250250250,-2.641755104,0.029665962,-0.004735453,-151.370696136,0.115431046,-1.257313548,-179.759088533,151.370483130,178.954143466,-2.642048133,0.044886561,-0.006115267,-151.400006973,0.216912573,-1.891353282,-0.000044898,-0.003763292,-0.003667787,-0.000537373,-0.000017278,0.006893888,0.642694404
16,0.266933600,-2.641788721,0.029433800,-0.004612655,-151.372507397,0.117998689,-1.246574864,-179.753715499,151.372284792,178.969601987,-2.642077671,0.045189824,-0.005994516,-151.402083328,0.224942333,-1.902438328,-0.000076860,-0.003892372,-0.003810885,-0.000572763,-0.000047775,0.007130845,0.665095725
17,0.283616950,-2.641946077,0.029255817,-0.004479949,-151.381448323,0.121452288,-1.237908852,-179.746434794,151.381212410,178.984677602,-2.642069749,0.045443648,-0.005712022,-151.402054563,0.239082815,-1.909845601,-0.000233261,-0.004017444,-0.003915075,-0.000571191,-0.000202511,0.007362530,0.682402566
18,0.300300300,-2.642128229,0.029134162,-0.004329640,-151.391854172,0.126192215,-1.231348930,-179.736451267,151.391599376,179.000024245,-2.642016521,0.045693958,-0.005395460,-151.399450388,0.254620308,-1.916772392,-0.000415252,-0.004144548,-0.003976317,-0.000524580,-0.000382498,0.007598538,0.697367906
19,0.316983650,-2.642152071,0.029041352,-0.004033569,-151.393261135,0.137269651,-1.224490146,-179.713303745,151.392959624,179.027207901,-2.641829402,0.046234468,-0.005230233,-151.389411387,0.267142928,-1.937133695,-0.000440508,-0.004371553,-0.003988844,-0.000347746,-0.000403457,0.008015210,0.724404488
20,0.333667000,-2.642144203,0.029419078,-0.003898801,-151.393115365,0.146681576,-1.238474251,-179.693648057,151.392771093,179.030479622,-2.641512558,0.046297365,-0.005224924,-151.371334437,0.268339720,-1.939751634,-0.000438054,-0.004398852,-0.003695907,-0.000032056,-0.000398633,0.008065387,0.712162573
21,0.350350350,-2.641753197,0.029940223,-0.003725534,-151.371139574,0.159405525,-1.257989338,-179.667307831,151.370733355,179.034028090,-2.641084730,0.046490017,-0.005725066,-151.346753570,0.250417689,-1.952948952,-0.000054546,-0.004431281,-0.003289698,0.000396438,-0.000011972,0.008117686,0.701404212
22,0.367033700,-2.641828537,0.031230982,-0.003888233,-151.376320739,0.166130483,-1.312224596,-179.653215114,151.375879427,178.992177572,-2.640503805,0.045603974,-0.005830501,-151.312462152,0.237514590,-1.918171768,-0.000143674,-0.004080636,-0.002402797,0.000992732,-0.000103042,0.007477074,0.613692188
23,0.383717050,-2.642142057,0.032623742,-0.004510231,-151.395078661,0.155032797,-1.375318245,-179.676186042,151.394694040,178.908971235,-2.640236811,0.043805887,-0.005823198,-151.295292207,0.219373624,-1.844957457,-0.000468920,-0.003382778,-0.001529578,0.001288628,-0.000437139,0.006204016,0.484731084
24,0.400400400,-2.642141342,0.033412907,-0.005082272,-151.395414249,0.139926507,-1.413391634,-179.707734669,151.395100926,178.843200898,-2.640261004,0.042471348,-0.006147090,-151.295168800,0.192270750,-1.793969010,-0.000473419,-0.002833053,-0.001072546,0.001287843,-0.000449012,0.005196265,0.397302604
25,0.417083750,-2.642117977,0.032880664,-0.005421542,-151.393536497,0.120607900,-1.395247074,-179.748100264,151.393303736,178.825902838,-2.640827120,0.042139066,-0.006265416,-151.327211427,0.183463107,-1.781467461,-0.000440666,-0.002688777,-0.001511991,0.000727861,-0.000420188,0.004930957,0.397054017
26,0.433767100,-2.642018795,0.032190677,-0.005516673,-151.387304923,0.109646855,-1.368166763,-179.771038790,151.387112596,178.832832869,-2.641283717,0.042321606,-0.006364076,-151.353494725,0.180913504,-1.789764692,-0.000332218,-0.002747340,-0.002018370,0.000269303,-0.000312856,0.005036629,0.428997829
27,0.450450450,-2.641758442,0.031826928,-0.005763712,-151.372032335,0.095995732,-1.355995953,-179.799642351,151.371885010,178.819867732,-2.641680967,0.042152768,-0.006773803,-151.375879641,0.162104529,-1.787002834,-0.000065521,-0.002640263,-0.002318613,-0.000122167,-0.000048789,0.004836974,0.436055749
28,0.467133800,-2.641628027,0.031493045,-0.005884526,-151.364277194,0.087699785,-1.343693074,-179.817002530,151.364154272,178.816920879,-2.641961268,0.042141875,-0.006961809,-151.391831618,0.154074593,-1.788407984,0.000069856,-0.002616235,-0.002576285,-0.000400839,0.000085310,0.004791365,0.450426996
29,0.483817150,-2.641942024,0.030666847,-0.006037739,-151.381631856,0.072667688,-1.311548509,-179.848284743,151.381547400,178.821631579,-2.642542686,0.042144367,-0.006525091,-151.425357580,0.171339120,-1.783765337,-0.000233066,-0.002654326,-0.003194827,-0.000985476,-0.000219432,0.004864504,0.484302305
30,0.500500501,-2.642646790,0.029393585,-0.005506285,-151.421329882,0.080635980,-1.253986554,-179.831434563,151.421225717,178.894041010,-2.642822694,0.043385241,-0.005233989,-151.443299516,0.236483519,-1.820811050,-0.000927151,-0.003256310,-0.004011182,-0.001294766,-0.000909053,0.005976335,0.588210849
31,0.517183851,-2.643533468,0.028197879,-0.004922590,-151.471542661,0.091457121,-1.199020452,-179.808505486,151.471408384,178.969222729,-2.643015253,0.044621466,-0.003688111,-151.456469945,0.312017705,-1.855072448,-0.001804996,-0.003879336,-0.004764703,-0.001519690,-0.001781208,0.007132112,0.692349246
32,0.533867201,-2.644007683,0.028147394,-0.004099222,-151.498952927,0.124159759,-1.188331019,-179.739803749,151.498705171,179.040331452,-2.642378571,0.045898119,-0.002710037,-151.421963300,0.365699870,-1.897113983,-0.002285363,-0.004468691,-0.004656557,-0.000912388,-0.002250330,0.008225409,0.753065758
33,0.550550551,-2.643920422,0.029240858,-0.003502984,-151.494893127,0.159788786,-1.226703091,-179.665182390,151.494482847,179.067525731,-2.641293772,0.046460205,-0.002693970,-151.360467954,0.373316517,-1.920156389,-0.002215353,-0.004694724,-0.003770849,0.000162714,-0.002169858,0.008643294,0.738517592
34,0.567233901,-2.643701315,0.031485576,-0.002535878,-151.484327215,0.222512127,-1.308138312,-179.533915500,151.483531970,179.101402843,-2.639274908,0.047183783,-0.002821681,-151.245577370,0.377785597,-1.951559668,-0.002030893,-0.004976671,-0.001998617,0.002170109,-0.001966464,0.009163699,0.704777238
35,0.583917251,-2.643563509,0.033347461,-0.001350303,-151.478395213,0.290128822,-1.371706789,-179.392405365,151.477043564,179.162146133,-2.637290115,0.048426257,-0.002712820,-151.133408546,0.397352853,-2.001638960,-0.001926731,-0.005482443,-0.000459539,0.004132251,-0.001836512,0.010096182,0.727965336
36,0.600600601,-2.643354654,0.034115348,0.000256443,-151.467799502,0.363644003,-1.386382897,-179.238719734,151.465677050,179.282434484,-2.635566404,0.050906346,-0.002417793,-151.037889808,0.437327410,-2.100130543,-0.001742868,-0.006486658,0.000379745,0.005809077,-0.001611441,0.011940191,0.839031803
37,0.617283951,-2.643000126,0.033992920,0.001424978,-151.447932203,0.410230146,-1.369352903,-179.141750602,151.445233364,179.384512449,-2.634688490,0.053078737,-0.002406971,-150.990393658,0.461646933,-2.188830553,-0.001398378,-0.007342760,0.000509004,0.006646666,-0.001232066,0.013501806,0.942990292
38,0.633967301,-2.642686367,0.033668984,0.002450925,-151.430164365,0.448893357,-1.345571556,-179.061408115,151.426935252,179.478724133,-2.634037069,0.055081788,-0.002382875,-150.955771207,0.484519980,-2.270431864,-0.001091029,-0.008133827,0.000468759,0.007259507,-0.000890730,0.014942302,1.043468930
39,0.650650651,-2.642527103,0.033645790,0.003332425,-151.421447990,0.484669109,-1.335505421,-178.986899087,151.417685059,179.554150802,-2.633336002,0.056652037,-0.002245972,-150.917886153,0.507544845,-2.333226038,-0.000940771,-0.008766092,0.000614083,0.007928345,-0.000708799,0.016096402,1.121712184
40,0.667334001,-2.642528772,0.033986531,0.004031623,-151.422196756,0.516666765,-1.342131827,-178.920000512,151.417920475,179.606276697,-2.632580757,0.057696029,-0.002007232,-150.876290097,0.529281652,-2.373511315,-0.000954312,-0.009201025,0.000982937,0.008660320,-0.000695589,0.016895544,1.171403878
41,0.684017351,-2.642606258,0.033969160,0.004576031,-151.426894506,0.538590436,-1.335775133,-178.874012465,151.422246739,179.653061088,-2.632146808,0.058614028,-0.001692010,-150.853006090,0.552408503,-2.407743522,-0.001037527,-0.009590120,0.001068337,0.009072613,-0.000756909,0.017613788,1.220802789
42,0.700700701,-2.642430782,0.033680137,0.004814233,-151.416698584,0.545434665,-1.321546653,-178.860079039,151.411933971,179.679428417,-2.632114434,0.059205111,-0.001802945,-150.851931761,0.554179367,-2.433029420,-0.000861034,-0.009813797,0.000908370,0.009093823,-0.000570582,0.018015119,1.251586625
43,0.717384051,-2.642091751,0.032693453,0.005115901,-151.396538099,0.547754559,-1.278253182,-178.855970179,151.391736893,179.726137135,-2.632416445,0.060268383,-0.002033718,-150.870623194,0.555596924,-2.478723432,-0.000513038,-0.010211081,0.000266188,0.008771831,-0.000209985,0.018725281,1.315265902
44,0.734067401,-2.641760349,0.031439241,0.005680999,-151.376726957,0.558003282,-1.221319630,-178.835307650,151.371748516,179.801017717,-2.632651574,0.061900563,-0.002125349,-150.886487981,0.568769019,-2.546156538,-0.000172759,-0.010844112,-0.000518546,0.008502906,0.000154422,0.019866859,1.417181992
45,0.750750751,-2.641441584,0.030857101,0.006469172,-151.358343338,0.584290634,-1.189426934,-178.781168154,151.352888991,179.880243664,-2.632336145,0.063605189,-0.002187763,-150.871026371,0.584674849,-2.616428681,0.000143827,-0.011513631,-0.000785462,0.008781688,0.000506414,0.021074830,1.512609415
46,0.767434101,-2.640805006,0.031096380,0.007731245,-151.322705574,0.638649094,-1.186042311,-178.669321037,151.316198891,179.981386609,-2.631190813,0.065836227,-0.002585255,-150.808680163,0.593752128,-2.712035470,0.000762528,-0.012374734,-0.000378768,0.009880257,0.001185962,0.022611807,1.616090626
47,0.784117451,-2.640117645,0.032255750,0.009128920,-151.285104472,0.708168942,-1.218689085,-178.526284559,151.277116787,-179.926242174,-2.629432619,0.067888478,-0.003104448,-150.710941422,0.597027324,-2.801934706,0.001418633,-0.013166020,0.000707402,0.011595108,0.001915013,0.024011302,1.693920892
48,0.800800801,-2.638985157,0.034019995,0.010396203,-151.222626564,0.779102692,-1.277275865,-178.381945749,151.212983812,-179.859100093,-2.627460384,0.069556575,-0.004333626,-150.599735601,0.567747436,-2.883917696,0.002512724,-0.013760414,0.002206070,0.013537680,0.003079293,0.025012881,1.742830384
49,0.817484151,-2.637623310,0.036119238,0.011721092,-151.147557575,0.856194709,-1.348847416,-178.226142348,151.135948582,-179.795244744,-2.625265894,0.071216961,-0.005887061,-150.475534476,0.525644610,-2.969311363,0.003829377,-0.014338041,0.003957346,0.015703808,0.004472997,0.025955031,1.792486105
50,0.834167501,-2.636352539,0.037964582,0.013068430,-151.077638423,0.931593582,-1.409794317,-178.074279216,151.063934848,-179.724331682,-2.623194166,0.072989285,-0.007290616,-150.358727138,0.490793429,-3.057776849,0.005056303,-0.014977004,0.005531947,0.017741677,0.005782572,0.027003026,1.859124601
51,0.850850851,-2.634922981,0.038998954,0.014359554,-150.997793810,0.996440091,-1.438198846,-177.945494107,150.982168070,-179.641416411,-2.621622022,0.075060353,-0.008849964,-150.270952171,0.452106361,-3.160008063,0.006452897,-0.015725834,0.006522277,0.019271948,0.007262779,0.028227296,1.954686182
52,0.867534201,-2.633826733,0.038494609,0.015080961,-150.934886136,1.021580415,-1.409865374,-177.897852338,150.918504616,-179.572542319,-2.621349892,0.076778576,-0.010012708,-150.257386875,0.423665655,-3.242892119,0.007545872,-0.016345179,0.006309492,0.019507258,0.008404972,0.029247326,2.051278938
53,0.884217551,-2.633029222,0.036885474,0.015389783,-150.887540279,1.017920072,-1.340856043,-177.908485363,150.871307495,-179.513665989,-2.622011092,0.078230274,-0.010808377,-150.297146395,0.405702751,-3.310356297,0.008361282,-0.016868181,0.005230694,0.018813073,0.009242456,0.030125595,2.152004321
54,0.900900901,-2.632426500,0.035672959,0.015294763,-150.851586264,1.001765265,-1.292311432,-177.943971020,150.835887668,-179.496747434,-2.622772640,0.078776335,-0.011521065,-150.341074738,0.381163037,-3.339864712,0.008981681,-0.017029001,0.004357958,0.018041638,0.009855794,0.030370344,2.205312189
55,0.917584251,-2.631510019,0.035263475,0.014412910,-150.798076231,0.962290180,-1.284808454,-178.028238420,150.783621913,-179.563727435,-2.623728742,0.077724132,-0.013002486,-150.392509434,0.307744923,-3.312283708,0.009915991,-0.016487225,0.003918138,0.017122597,0.010727254,0.029330709,2.172954836
56,0.934267601,-2.630360842,0.034998663,0.013409282,-150.731337435,0.919565425,-1.284503167,-178.119648126,150.718173866,-179.644273423,-2.624703293,0.076471129,-0.014852726,-150.444417764,0.217154832,-3.280413458,0.011082446,-0.015835031,0.003562123,0.016191195,0.011825008,0.028080774,2.137911008
57,0.950950951,-2.629225969,0.034968100,0.012805616,-150.665923991,0.895611379,-1.289538448,-178.172323640,150.653470493,-179.696275161,-2.625224989,0.075780284,-0.016570855,-150.471601985,0.138791747,-3.270327566,0.012225773,-0.015424713,0.003445457,0.015695835,0.012927999,0.027265046,2.130950540
